Year,Oil production (TWh),Growth Rate
1900,1295.896005,
1901,1447.446533,11.694651994856642
1902,1595.03125,10.196211993690273
1903,1718.8093305,7.760229180462774
1904,1941.96578,12.98319979651752
1905,1943.5823030000001,0.0832415800859243
1906,1929.800795,-0.7090776644100738
1907,2408.258984,24.79313876539262
1908,2621.785749,8.866436974537617
1909,2758.531348,5.215742707128435
1910,2995.4577200999997,8.588859150423534
1911,3177.292688,6.070356683049094
1912,3224.31291,1.4798832407724394
1913,3565.443949,10.579960708590153
1914,3668.39277,2.88740539670731
1915,3932.91714,7.210906426467534
1916,4213.165178,7.125704102680386
1917,4678.888601000001,11.054003423171753
1918,4705.672401,0.5724393607976719
1919,5355.08008,13.800528886413655
1920,6885.1461411,28.572234929118
1921,7460.493871000001,8.356361914608268
1922,8325.9049791,11.599917151114813
1923,9851.87751,18.328008003100614
1924,9818.15084,-0.34233748811600684
1925,10286.967691,4.775001511384391
1926,10545.8629571,2.5167306234130216
1927,12015.336904,13.934127087349225
1928,12595.56907,4.8290961013905065
1929,14101.561014,11.956521659564846
1930,13405.482171,-4.936182897119934
1931,12937.01432,-3.4945990380967684
1932,12356.1075,-4.49026959104425
1933,13514.0017492,9.371027641188778
1934,14249.645749,5.443568925418751
1935,15529.45772,8.981359912682851
1936,16912.38101,8.905161499741032
1937,19259.86144,13.88024801837171
1938,18765.67978,-2.565863007579361
1939,19543.051991,4.142520921776072
1940,20142.694966,3.068317964236833
1941,20720.496094,2.8685393338642173
1942,19623.880581,-5.292419197036224
1943,21163.285554000002,7.844549229933984
1944,24287.068534,14.760387615757441
1945,24545.975419,1.0660277284495923
1946,26210.6820445,6.78199418472254
1947,28851.157725,10.074044147409245
1948,32729.262505,13.44176485728874
1949,32615.079102,-0.3488725203708909
1950,36708.12968,12.549565080616375
1951,41629.201252,13.405944718238239
1952,43803.34854,5.222649540736857
1953,46435.542582999995,6.009116039602191
1954,48715.895221,4.9107914135471775
1955,54678.2113,12.238954148234193
1956,59369.85878,8.580469932087919
1957,62357.536509,5.032314023301088
1958,64108.584038,2.808076821231187
1959,69042.30788000001,7.695886465181578
1960,74435.33845,7.811196837993051
1961,79127.16003,6.30321790388797
1962,85700.39013,8.307173033264249
1963,91856.03087,7.182745295164272
1964,99164.5918602,7.956539076398261
1965,163565.54308424,64.94349446305492
1966,177540.70117564,8.544072197530305
1967,190239.42254374,7.15256912021387
1968,207042.7440986,8.832723170717461
1969,222663.3780243,7.544642046601258
1970,245061.16990469,10.059037134497096
1971,260414.73001201,6.2651949769485515
1972,275932.32089752,5.958799214159027
1973,302101.4508604,9.483894412137062
1974,303060.8792446,0.31758483167410034
1975,286085.18311689,-5.601414530975779
1976,311253.012791,8.797320224664285
1977,321794.65432000003,3.3868399969765095
1978,323982.4565623,0.6798752598681679
1979,337472.44423829997,4.163801898145669
1980,329622.55854460003,-2.3260819743128103
1981,309138.650741965,-6.214352528867783
1982,294679.35124697,-4.677286214548437
1983,290864.87443823,-1.2944499818526856
1984,296748.91263753,2.02294560684384
1985,300489.618774455,1.2605627106354822
1986,316079.00430866,5.187994712691313
1987,317289.0148769,0.38281902680836755
1988,330990.59180417,4.318326914843196
1989,335449.58928424,1.3471674393416455
1990,341236.68247024,1.725175218830377
1991,339648.03524703503,-0.4655558164804008
1992,338969.71003571,-0.1997141572839256
1993,339652.4837077,0.2014261604430745
1994,345576.4482687,1.7441252000671703
1995,350886.77170467,1.5366566392397862
1996,359973.7896924,2.5897294285514683
1997,368599.03196804,2.3960750817469956
1998,378025.678091024,2.5574256320351374
1999,369533.81621029,-2.246371707767758
2000,385132.742993674,4.221244741105679
2001,384447.981122915,-0.17779892341437398
2002,378687.423614079,-1.4983971282695352
2003,394670.850848881,4.220744138334709
2004,414770.8602960073,5.092853805619035
2005,418977.24640102417,1.0141469682838578
2006,420640.67378395423,0.39702093543712014
2007,419238.8528195942,-0.33325853911122527
2008,424802.6268432424,1.3271131685980375
2009,413699.1569756342,-2.613795011137132
2010,422284.0889740042,2.075163039037964
2011,426789.9524399092,1.0670218422987654
2012,437903.1592319284,2.6039054407176687
2013,438263.0089094392,0.08217562945695978
2014,449272.3350110292,2.512036352094893
2015,464520.58746433316,3.3939887380177947
2016,467816.7516879184,0.7095840986462765
2017,356526.948626,-23.789187253422696
2018,365088.416569,2.401352261307177
2019,364551.9268841,-0.14694787907590934
2020,340466.473496,-6.606864924282075
2021,344457.774783,1.1723037648953438
2022,359893.348109,4.481122057913778
2023,367027.867853,1.9823983359201103
2024,369273.968595,0.6119700814924522
